quote_date,market_close_time_eastern,source_name,source_url,notes
2004-07-02,12:45,Cboe U.S. Options Holiday Hours,https://www.cboe.com/about/hours/us-options/,"Checked-in early-close manifest row for U.S. options half-day handling."
2004-11-26,12:45,Cboe U.S. Options Holiday Hours,https://www.cboe.com/about/hours/us-options/,"Checked-in early-close manifest row for U.S. options half-day handling."
2004-12-23,12:45,Cboe U.S. Options Holiday Hours,https://www.cboe.com/about/hours/us-options/,"Checked-in early-close manifest row for U.S. options half-day handling."
2005-07-01,12:45,Cboe U.S. Options Holiday Hours,https://www.cboe.com/about/hours/us-options/,"Checked-in early-close manifest row for U.S. options half-day handling."
2005-11-25,12:45,Cboe U.S. Options Holiday Hours,https://www.cboe.com/about/hours/us-options/,"Checked-in early-close manifest row for U.S. options half-day handling."
2005-12-23,12:45,Cboe U.S. Options Holiday Hours,https://www.cboe.com/about/hours/us-options/,"Checked-in early-close manifest row for U.S. options half-day handling."
2006-07-03,12:45,Cboe U.S. Options Holiday Hours,https://www.cboe.com/about/hours/us-options/,"Checked-in early-close manifest row for U.S. options half-day handling."
2006-11-24,12:45,Cboe U.S. Options Holiday Hours,https://www.cboe.com/about/hours/us-options/,"Checked-in early-close manifest row for U.S. options half-day handling."
2006-12-22,12:45,Cboe U.S. Options Holiday Hours,https://www.cboe.com/about/hours/us-options/,"Checked-in early-close manifest row for U.S. options half-day handling."
2007-07-03,12:45,Cboe U.S. Options Holiday Hours,https://www.cboe.com/about/hours/us-options/,"Checked-in early-close manifest row for U.S. options half-day handling."
2007-11-23,12:45,Cboe U.S. Options Holiday Hours,https://www.cboe.com/about/hours/us-options/,"Checked-in early-close manifest row for U.S. options half-day handling."
2007-12-24,12:45,Cboe U.S. Options Holiday Hours,https://www.cboe.com/about/hours/us-options/,"Checked-in early-close manifest row for U.S. options half-day handling."
2008-07-03,12:45,Cboe U.S. Options Holiday Hours,https://www.cboe.com/about/hours/us-options/,"Checked-in early-close manifest row for U.S. options half-day handling."
2008-11-28,12:45,Cboe U.S. Options Holiday Hours,https://www.cboe.com/about/hours/us-options/,"Checked-in early-close manifest row for U.S. options half-day handling."
2008-12-24,12:45,Cboe U.S. Options Holiday Hours,https://www.cboe.com/about/hours/us-options/,"Checked-in early-close manifest row for U.S. options half-day handling."
2009-07-02,12:45,Cboe U.S. Options Holiday Hours,https://www.cboe.com/about/hours/us-options/,"Checked-in early-close manifest row for U.S. options half-day handling."
2009-11-27,12:45,Cboe U.S. Options Holiday Hours,https://www.cboe.com/about/hours/us-options/,"Checked-in early-close manifest row for U.S. options half-day handling."
2009-12-24,12:45,Cboe U.S. Options Holiday Hours,https://www.cboe.com/about/hours/us-options/,"Checked-in early-close manifest row for U.S. options half-day handling."
2010-07-02,12:45,Cboe U.S. Options Holiday Hours,https://www.cboe.com/about/hours/us-options/,"Checked-in early-close manifest row for U.S. options half-day handling."
2010-11-26,12:45,Cboe U.S. Options Holiday Hours,https://www.cboe.com/about/hours/us-options/,"Checked-in early-close manifest row for U.S. options half-day handling."
2010-12-23,12:45,Cboe U.S. Options Holiday Hours,https://www.cboe.com/about/hours/us-options/,"Checked-in early-close manifest row for U.S. options half-day handling."
2011-07-01,12:45,Cboe U.S. Options Holiday Hours,https://www.cboe.com/about/hours/us-options/,"Checked-in early-close manifest row for U.S. options half-day handling."
2011-11-25,12:45,Cboe U.S. Options Holiday Hours,https://www.cboe.com/about/hours/us-options/,"Checked-in early-close manifest row for U.S. options half-day handling."
2011-12-23,12:45,Cboe U.S. Options Holiday Hours,https://www.cboe.com/about/hours/us-options/,"Checked-in early-close manifest row for U.S. options half-day handling."
2012-07-03,12:45,Cboe U.S. Options Holiday Hours,https://www.cboe.com/about/hours/us-options/,"Checked-in early-close manifest row for U.S. options half-day handling."
2012-11-23,12:45,Cboe U.S. Options Holiday Hours,https://www.cboe.com/about/hours/us-options/,"Checked-in early-close manifest row for U.S. options half-day handling."
2012-12-24,12:45,Cboe U.S. Options Holiday Hours,https://www.cboe.com/about/hours/us-options/,"Checked-in early-close manifest row for U.S. options half-day handling."
2013-07-03,12:45,Cboe U.S. Options Holiday Hours,https://www.cboe.com/about/hours/us-options/,"Checked-in early-close manifest row for U.S. options half-day handling."
2013-11-29,12:45,Cboe U.S. Options Holiday Hours,https://www.cboe.com/about/hours/us-options/,"Checked-in early-close manifest row for U.S. options half-day handling."
2013-12-24,12:45,Cboe U.S. Options Holiday Hours,https://www.cboe.com/about/hours/us-options/,"Checked-in early-close manifest row for U.S. options half-day handling."
2014-07-03,12:45,Cboe U.S. Options Holiday Hours,https://www.cboe.com/about/hours/us-options/,"Checked-in early-close manifest row for U.S. options half-day handling."
